"Folder","Result","OD_mm","ID_R_mm","Thick_mm","Vol_mm3"
"round1098_bh060-ev-l200-bp-m-l-262656","PASS","","34.6093","","72763.709"
"round11_KE-BH-062_X100G","PASS","","35.3492","","63485.799"
"round110_washer_1","PASS","15","6.6466","15","568.918"
"round1107_shaft-0008-219136","PASS","146.6","69.9511","18.7","28183.578"
"round1108_silicon-steel-single-concave-0004-222208","PASS","59.1","11.5433","18.2","42308.386"
"round1109_silicon-steel-single-concave-0003-218624","PASS","58.9","11.4179","18.2","42135.648"
"round1110_stainless-screw-0001-148992","PASS","15","6.05","25.1","1494.77"
"round1111_flinger-2025-0007-272896","PASS","122.3","60.8855","121.51","12323.397"
"round1112_flinger-1-250417-0006-270848","PASS","120","59.7398","119.34","11682.938"
"round1113_flinger-250417-0004-259584","PASS","117","58.2467","117.01","10868.597"
"round1114_mag-a14-ev-m-bp-0001-205824","PASS","104.9","50.55","119.7","73560.96"
"round1115_mag-a14-ev-m-bp-206848","PASS","104.9","50.555","119.7","73367.602"
"round1116_m6x55-0002-185856","PASS","61","","10","1941.6"
"round1117_silicon-steel-224768","PASS","111.4","42.1218","0.5","2086.404"
"round1118_m6x55-186368","PASS","61","","10","1941.6"
"round1119_shaft-248320","PASS","112.3","46.7159","100","304874.528"
"round112_IGUS_BUSHING","PASS","11.11","4.715","11.11","301.649"
"round1120_bottom-cover-213504","PASS","112.3","36.5551","10","57068.506"
"round1121_ke-bh-058-350208","PASS","110","44.2278","37","124256.387"
"round1122_go-306688","PASS","50","","10","23194.261"
"round1123_go-test-307200","PASS","50","","10","23194.256"
"round1124_50x18-magnet-0002-235008","PASS","50.5","9","5.1","8916.2"
"round1125_50x18-magnet-0001-237056","PASS","50.5","9","5","8741.4"
"round1126_al-spacer-107520","PASS","50.5","9","5.5","9597.342"
"round113_Spring_Bushing_P5000","PASS","29.6","13.4501","23.6","2827.32"
"round114_EV-L200-BP-小間隔環","PASS","44.7","","4",""
"round115_KE-SL-036_A150-BP-M-SLEEVE","PASS","73","32.834","32","25552.571"
"round116_KE-SL-037_A150-BP-G-SLEEVE","PASS","73","33.0025","25","19091.795"
"round117_KE-SL-038_KMB1201_SLEEVE","PASS","75","33.3305","15","13917.098"
"round118_KE-SL-043_30x25x51_SLEEVE","PASS","30","","51",""
"round119_KE-SL-045_25x20x40","PASS","25","","40",""
"round12_R1_redo_MP_Flinger","PASS","","21.5","","6548.815"
"round120_KE-SL-047_KMB301_25x21x50","PASS","25","","50",""
"round121_KE-SL-048_HC60B","PASS","35","","10",""
"round122_KE-SL-049_HC60C","PASS","43.5","19.7063","43.5","11578.151"
"round123_KE-SL-050_HC60D","PASS","32","14.0981","32","5754.673"
"round124_KE-SL-051_HC60E","PASS","31.98","10.4219","12","5544.215"
"round125_KE-SL-052_HC60_motor","PASS","33","13.7443","23.5","6154.84"
"round126_KE-SL-053_oilseal","PASS","62","22.0517","7.5","11185.372"
"round127_KE-SL-054_MSB3600","PASS","70","30.8132","36","31163.37"
"round128_KE-SL-056","PASS","81.45","","43.9",""
